,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
20,"Accident, left lane blocked in #UpperChichester on I-95 SB between Chichester Ave and Naamans Rd, jammed back to Chichester Ave #traffic",1,"[-75.43248, 39.82869]","['accident,', 'left', 'lane', 'blocked', 'in', '#upperchichester', 'on', 'i-95', 'sb', 'between', 'chichester', 'ave', 'and', 'naamans', 'rd,', 'jammed', 'back', 'to', 'chichester', 'ave', '#traffic']","['accident,', 'left', 'lane', 'blocked', '#upperchichester', 'i-95', 'sb', 'chichester', 'ave', 'naamans', 'rd,', 'jammed', 'back', 'chichester', 'ave', '#traffic']","(1048576,[252327,287751,427080,432558,520420,551187,818019,841179,887685,914287,918702,947921,965373,998001],[1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[252327,287751,427080,432558,520420,551187,818019,841179,887685,914287,918702,947921,965373,998001],[2.8903717579,2.8903717579,4.96981329958,2.8903717579,2.8903717579,5.78074351579,2.8903717579,2.8903717579,2.8903717579,2.19722457734,2.8903717579,2.8903717579,2.48490664979,2.8903717579])",3
21,Ramp restrictions in #Greenville on Rt-52 Both NB/SB at DE-141 #traffic https://t.co/BtegSRlPfO,1,"[-75.59221, 39.77262]","['ramp', 'restrictions', 'in', '#greenville', 'on', 'rt-52', 'both', 'nb/sb', 'at', 'de-141', '#traffic', 'https://t.co/btegsrlpfo']","['ramp', 'restrictions', '#greenville', 'rt-52', 'nb/sb', 'de-141', '#traffic', 'https://t.co/btegsrlpfo']","(1048576,[112463,201125,304145,346443,379316,852298,863086,914287],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[112463,201125,304145,346443,379316,852298,863086,914287],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.19722457734])",3
22,"Heavy traffic in #Hillsborough on I-4 WB from Branch Forbes Rd to Mcintosh Rd, incident cleared at Mcintosh Rd, delay of 1 min #traffic",0,"[-82.187, 28.02682]","['heavy', 'traffic', 'in', '#hillsborough', 'on', 'i-4', 'wb', 'from', 'branch', 'forbes', 'rd', 'to', 'mcintosh', 'rd,', 'incident', 'cleared', 'at', 'mcintosh', 'rd,', 'delay', 'of', '1', 'min', '#traffic']","['heavy', 'traffic', '#hillsborough', 'i-4', 'wb', 'branch', 'forbes', 'rd', 'mcintosh', 'rd,', 'incident', 'cleared', 'mcintosh', 'rd,', 'delay', '1', 'min', '#traffic']","(1048576,[26476,51023,231934,335230,351601,414172,517586,615152,742401,760520,798121,914287,965373,989477,1008469,1036550],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1048576,[26476,51023,231934,335230,351601,414172,517586,615152,742401,760520,798121,914287,965373,989477,1008469,1036550],[2.8903717579,2.8903717579,2.8903717579,5.78074351579,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.8903717579,2.8903717579,2.19722457734,4.96981329958,2.8903717579,2.8903717579,2.8903717579])",3
23,We're #hiring! Read about our latest #job opening here: Environmental Protection Assistant -… https://t.co/7TXinrC2uP,0,"[-85.7584557, 38.2526647]","[""we're"", '#hiring!', 'read', 'about', 'our', 'latest', '#job', 'opening', 'here:', 'environmental', 'protection', 'assistant', '-…', 'https://t.co/7txinrc2up']","['#hiring!', 'read', 'latest', '#job', 'opening', 'here:', 'environmental', 'protection', 'assistant', '-…', 'https://t.co/7txinrc2up']","(1048576,[78474,122254,173435,315714,366731,383460,495573,540233,770186,856842,958905],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78474,122254,173435,315714,366731,383460,495573,540233,770186,856842,958905],[2.8903717579,1.97408102602,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.19722457734,2.48490664979,2.8903717579])",3
24,"Can you recommend anyone for this #job? Police Officer - https://t.co/RchjmUbfHV #security #GrandIsland, NE #Veterans #Hiring #CareerArc",0,"[-98.3420118, 40.9263957]","['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job?', 'police', 'officer', '-', 'https://t.co/rchjmubfhv', '#security', '#grandisland,', 'ne', '#veterans', '#hiring', '#careerarc']","['recommend', 'anyone', '#job?', 'police', 'officer', '-', 'https://t.co/rchjmubfhv', '#security', '#grandisland,', 'ne', '#veterans', '#hiring', '#careerarc']","(1048576,[21764,79613,129613,130748,138193,163725,339710,546607,569819,695983,720578,959294,1017066],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[21764,79613,129613,130748,138193,163725,339710,546607,569819,695983,720578,959294,1017066],[2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.19722457734,2.48490664979,1.97408102602,2.8903717579,2.8903717579])",3
25,I'm at Aguascalientes in AGS https://t.co/ofbbZ0QMKb,1,"[-102.29750835, 21.88038237]","[""i'm"", 'at', 'aguascalientes', 'in', 'ags', 'https://t.co/ofbbz0qmkb']","['aguascalientes', 'ags', 'https://t.co/ofbbz0qmkb']","(1048576,[288279,317212,527560],[1.0,1.0,1.0])","(1048576,[288279,317212,527560],[2.8903717579,2.8903717579,2.8903717579])",3
26,"wind 1mph -&gt; 10mph""",1,"[-117.44, 34.1]","['wind', '1mph', '-&gt;', '10mph""']","['wind', '1mph', '-&gt;', '10mph""']","(1048576,[202972,242825,381390,405713],[1.0,1.0,1.0,1.0])","(1048576,[202972,242825,381390,405713],[2.19722457734,2.8903717579,2.48490664979,2.8903717579])",4
27,Construction on #NJ166 Both directions from CR 8/Dayton Av to CR 623/Old Freehold Rd https://t.co/OUWycWqN1J,0,"[-74.199773, 39.959764]","['construction', 'on', '#nj166', 'both', 'directions', 'from', 'cr', '8/dayton', 'av', 'to', 'cr', '623/old', 'freehold', 'rd', 'https://t.co/ouwycwqn1j']","['construction', '#nj166', 'directions', 'cr', '8/dayton', 'av', 'cr', '623/old', 'freehold', 'rd', 'https://t.co/ouwycwqn1j']","(1048576,[102395,136154,196704,304105,376729,615152,633905,881125,962121,1013022],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0])","(1048576,[102395,136154,196704,304105,376729,615152,633905,881125,962121,1013022],[2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.8903717579,2.48490664979,2.8903717579,2.8903717579,2.48490664979,4.96981329958])",3
28,Updated: Construction on #NJ124 Both directions from CR 649/John F Kennedy Pkwy to South Ter https://t.co/nueDIsEkRc,0,"[-74.37039, 40.739165]","['updated:', 'construction', 'on', '#nj124', 'both', 'directions', 'from', 'cr', '649/john', 'f', 'kennedy', 'pkwy', 'to', 'south', 'ter', 'https://t.co/nuedisekrc']","['updated:', 'construction', '#nj124', 'directions', 'cr', '649/john', 'f', 'kennedy', 'pkwy', 'south', 'ter', 'https://t.co/nuedisekrc']","(1048576,[24152,26352,162231,304105,340730,442504,567005,594120,674651,731565,962121,1013022],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[24152,26352,162231,304105,340730,442504,567005,594120,674651,731565,962121,1013022],[2.8903717579,2.8903717579,2.19722457734,2.48490664979,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.8903717579,2.48490664979,2.48490664979])",3
29,See a virtual tour of my listing on 3001 NE 185th St  #426 #Aventura #FL  #realestate https://t.co/QSpXfIEErs https://t.co/ZMKu6g3E8o,0,"[-80.1400558, 25.947713]","['see', 'a', 'virtual', 'tour', 'of', 'my', 'listing', 'on', '3001', 'ne', '185th', 'st', '', '#426', '#aventura', '#fl', '', '#realestate', 'https://t.co/qspxfieers', 'https://t.co/zmku6g3e8o']","['see', 'virtual', 'tour', 'listing', '3001', 'ne', '185th', 'st', '', '#426', '#aventura', '#fl', '', '#realestate', 'https://t.co/qspxfieers', 'https://t.co/zmku6g3e8o']","(1048576,[60420,60926,171061,215995,340096,384691,517990,596723,602730,720578,743335,921097,956438,969784,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0])","(1048576,[60420,60926,171061,215995,340096,384691,517990,596723,602730,720578,743335,921097,956438,969784,1035612],[2.48490664979,2.8903717579,2.48490664979,2.19722457734,2.8903717579,2.48490664979,2.48490664979,2.8903717579,2.48490664979,1.97408102602,2.8903717579,2.8903717579,2.8903717579,2.8903717579,4.39444915467])",3
